import time: self [us] | cumulative | imported package
import time:       489 |        489 |             tqdm._monitor
import time:       292 |        292 |             tqdm._tqdm_pandas
import time:       425 |        425 |                         colorama.ansi
import time:       702 |        702 |                             ctypes.wintypes
import time:       648 |       1349 |                           colorama.win32
import time:       408 |       1757 |                         colorama.winterm
import time:       622 |       2802 |                       colorama.ansitowin32
import time:       455 |       3257 |                     colorama.initialise
import time:       634 |       3890 |                   colorama
import time:       627 |       4517 |                 tqdm.utils
import time:       836 |       5353 |               tqdm.std
import time:      1990 |       1990 |               tqdm.version
import time:       710 |       8052 |             tqdm.cli
import time:       377 |        377 |             tqdm.gui
import time:       675 |       9883 |           tqdm
import time:       948 |        948 |           pyrnnoise.rnnoise
import time:       545 |     442509 |         pyrnnoise.pyrnnoise
import time:       647 |     443155 |       pyrnnoise
import time:        21 |     443176 |     pyrnnoise.rnnoise
import time:       444 |        444 |       imageio_ffmpeg._definitions
import time:       343 |        343 |           imageio_ffmpeg._utils
import time:       372 |        714 |         imageio_ffmpeg._parsing
import time:       402 |       1116 |       imageio_ffmpeg._io
import time:       661 |       2219 |     imageio_ffmpeg
import time:        96 |         96 |         array
import time:       338 |        338 |         pydub.logging_utils
import time:       765 |        765 |             audioop._audioop
import time:       629 |       1393 |           audioop
import time:       436 |       1829 |         pydub.utils
import time:       349 |        349 |         StringIO
import time:       355 |        355 |         pydub.exceptions
import time:       317 |        317 |           pydub.silence
import time:       426 |        742 |         pydub.effects
import time:      3638 |       7344 |       pydub.audio_segment
import time:       761 |       8105 |     pydub
import time:       687 |        687 |       lazy_loader
import time:       450 |        450 |       librosa.version
import time:      1048 |       2184 |     librosa
import time:       299 |        299 |             cffi.lock
import time:       333 |        333 |             cffi.error
import time:       636 |        636 |             cffi.model
import time:       931 |       2197 |           cffi.api
import time:       618 |       2815 |         cffi
import time:       424 |        424 |           cffi.commontypes
import time:        90 |         90 |           cffi._pycparser
import time:      1053 |       1053 |               pycparser.c_ast
import time:      5130 |       5130 |               pycparser.c_lexer
import time:       388 |        388 |               pycparser.ast_transforms
import time:      1585 |       8154 |             pycparser.c_parser
import time:       667 |       8820 |           pycparser
import time:      1588 |      10921 |         cffi.cparser
import time:     45662 |      59397 |       soundcard.mediafoundation
import time:       644 |      60040 |     soundcard
import time:     20787 |    4411311 |   soundboard.audio
import time:      5484 |       5484 |       _tkinter
import time:       759 |        759 |       tkinter.constants
import time:     34115 |      40358 |     tkinter
import time:       403 |        403 |       tkinter.commondialog
import time:       467 |        870 |     tkinter.messagebox
import time:      1197 |       1197 |     tkinter.ttk
import time:      1125 |      43549 |   soundboard.editor
import time:       458 |        458 |       tkinter.dialog
import time:       661 |        661 |       tkinter.simpledialog
import time:       730 |       1848 |     tkinter.filedialog
import time:       803 |        803 |               packaging
import time:       411 |        411 |                 packaging._structures
import time:      2765 |       3175 |               packaging.version
import time:       521 |        521 |                       customtkinter.windows.widgets.core_rendering.ctk_canvas
import time:       510 |        510 |                       customtkinter.windows.widgets.core_rendering.draw_engine
import time:       678 |       1709 |                     customtkinter.windows.widgets.core_rendering
import time:       482 |        482 |                       customtkinter.windows.widgets.theme.theme_manager
import time:       583 |       1065 |                     customtkinter.windows.widgets.theme
import time:      1901 |       1901 |                             tkinter.font
import time:       531 |       2432 |                           customtkinter.windows.widgets.font.ctk_font
import time:       354 |        354 |                           customtkinter.windows.widgets.font.font_manager
import time:       638 |       3423 |                         customtkinter.windows.widgets.font
import time:       511 |        511 |                                 darkdetect._windows_detect
import time:       697 |       1208 |                               darkdetect
import time:       355 |       1563 |                             customtkinter.windows.widgets.appearance_mode.appearance_mode_tracker
import time:       503 |       2066 |                           customtkinter.windows.widgets.appearance_mode.appearance_mode_base_class
import time:       405 |       2471 |                         customtkinter.windows.widgets.appearance_mode
import time:       616 |        616 |                             customtkinter.windows.widgets.scaling.scaling_tracker
import time:       576 |       1192 |                           customtkinter.windows.widgets.scaling.scaling_base_class
import time:       423 |       1615 |                         customtkinter.windows.widgets.scaling
import time:       639 |       8146 |                       customtkinter.windows.widgets.core_widget_classes.dropdown_menu
import time:       505 |        505 |                               PIL._version
import time:       709 |       1214 |                             PIL
import time:      3210 |       3210 |                               PIL.ExifTags
import time:       592 |        592 |                               PIL.ImageMode
import time:       986 |        986 |                               PIL.TiffTags
import time:       337 |        337 |                               PIL._binary
import time:       311 |        311 |                               PIL._deprecate
import time:       316 |        316 |                               PIL._util
import time:       371 |        371 |                               defusedxml
import time:       791 |        791 |                               PIL._imaging
import time:      1843 |       8751 |                             PIL.Image
import time:       794 |        794 |                               PIL.ImageFile
import time:       411 |       1204 |                             PIL.ImageTk
import time:       571 |      11738 |                           customtkinter.windows.widgets.image.ctk_image
import time:       362 |      12100 |                         customtkinter.windows.widgets.image
import time:       449 |        449 |                           customtkinter.windows.widgets.utility.utility_functions
import time:       471 |        920 |                         customtkinter.windows.widgets.utility
import time:       537 |      13555 |                       customtkinter.windows.widgets.core_widget_classes.ctk_base_class
import time:       381 |      22081 |                     customtkinter.windows.widgets.core_widget_classes
import time:       829 |      25683 |                   customtkinter.windows.widgets.ctk_button
import time:       583 |        583 |                   customtkinter.windows.widgets.ctk_checkbox
import time:       558 |        558 |                   customtkinter.windows.widgets.ctk_combobox
import time:       486 |        486 |                   customtkinter.windows.widgets.ctk_entry
import time:       444 |        444 |                   customtkinter.windows.widgets.ctk_frame
import time:       442 |        442 |                   customtkinter.windows.widgets.ctk_label
import time:       471 |        471 |                   customtkinter.windows.widgets.ctk_optionmenu
import time:       455 |        455 |                   customtkinter.windows.widgets.ctk_progressbar
import time:      2224 |       2224 |                   customtkinter.windows.widgets.ctk_radiobutton
import time:       448 |        448 |                   customtkinter.windows.widgets.ctk_scrollbar
import time:       474 |        474 |                   customtkinter.windows.widgets.ctk_segmented_button
import time:       476 |        476 |                   customtkinter.windows.widgets.ctk_slider
import time:       460 |        460 |                   customtkinter.windows.widgets.ctk_switch
import time:       468 |        468 |                   customtkinter.windows.widgets.ctk_tabview
import time:       531 |        531 |                   customtkinter.windows.widgets.ctk_textbox
import time:       482 |        482 |                   customtkinter.windows.widgets.ctk_scrollable_frame
import time:       585 |      35263 |                 customtkinter.windows.widgets
import time:        32 |      35295 |               customtkinter.windows.widgets.theme
import time:       746 |      40017 |             customtkinter.windows.ctk_tk
import time:       457 |        457 |             customtkinter.windows.ctk_toplevel
import time:       398 |        398 |             customtkinter.windows.ctk_input_dialog
import time:       625 |      41496 |           customtkinter.windows
import time:        27 |      41523 |         customtkinter.windows.widgets
import time:        31 |      41553 |       customtkinter.windows.widgets.appearance_mode
import time:       908 |      42461 |     customtkinter
import time:       409 |        409 |       PIL.ImageColor
import time:       402 |        402 |           PIL._typing
import time:      6297 |       6297 |           PIL._imagingft
import time:       785 |       7483 |         PIL.ImageFont
import time:       381 |       7864 |       PIL.ImageText
import time:       531 |       8803 |     PIL.ImageDraw
import time:       609 |        609 |       colorsys
import time:       903 |       1512 |     soundboard.color_picker
import time:       618 |        618 |             bidi.bidi
import time:       594 |       1211 |           bidi.wrapper
import time:       840 |       2050 |         bidi
import time:       465 |        465 |         bidi.mirror
import time:       548 |       3062 |       bidi.algorithm
import time:       930 |       3991 |     soundboard.rtl
import time:       898 |        898 |         _uuid
import time:       926 |       1823 |       uuid
import time:       420 |        420 |       soundboard.emoji_render
import time:       846 |        846 |       soundboard.emoji_picker
import time:      2694 |       2694 |       soundboard.models
import time:       398 |        398 |       soundboard._shared
import time:      2174 |       8354 |     soundboard.person_board
import time:       767 |        767 |     soundboard.slot_widget
import time:      1142 |       1142 |           keyboard._canonical_names
import time:       430 |       1571 |         keyboard._keyboard_event
import time:      1158 |       2729 |       keyboard._winkeyboard
import time:       417 |        417 |       keyboard._generic
import time:      1295 |       4440 |     keyboard
import time:       580 |        580 |       windnd.windnd
import time:       795 |       1374 |     windnd
import time:      5478 |      79025 |   soundboard.gui
import time:       555 |    4534439 | soundboard
