import time: self [us] | cumulative | imported package
import time:       426 |       1455 |             numpy.typing
import time:      1731 |       1731 |                   scipy._lib.array_api_compat.common._typing
import time:       932 |       2662 |                 scipy._lib.array_api_compat.common._helpers
import time:       510 |       3171 |               scipy._lib.array_api_compat.common
import time:       394 |       3564 |             scipy._lib.array_api_compat
import time:       362 |        362 |               scipy._lib.array_api_compat._internal
import time:       503 |        503 |                 numpy.fft._helper
import time:       480 |        480 |                   numpy.fft._pocketfft_umath
import time:       519 |        999 |                 numpy.fft._pocketfft
import time:       444 |       1945 |               numpy.fft
import time:       489 |        489 |                     unittest.util
import time:       708 |       1197 |                   unittest.result
import time:       901 |        901 |                     difflib
import time:       629 |        629 |                     pprint
import time:      1096 |       2625 |                   unittest.case
import time:       492 |        492 |                   unittest.suite
import time:       689 |        689 |                   unittest.loader
import time:       909 |        909 |                       gettext
import time:      1106 |       2015 |                     argparse
import time:       361 |        361 |                       unittest.signals
import time:       461 |        821 |                     unittest.runner
import time:       453 |       3288 |                   unittest.main
import time:       631 |       8920 |                 unittest
import time:       504 |        504 |                 numpy.testing._private
import time:       303 |        303 |                 numpy.testing.overrides
import time:       469 |        469 |                 numpy.testing._private.extbuild
import time:       508 |        508 |                     concurrent
import time:      1091 |       1091 |                     concurrent.futures._base
import time:       604 |       2202 |                   concurrent.futures
import time:        56 |         56 |                   gc
import time:       517 |        517 |                     email
import time:        73 |         73 |                       binascii
import time:       564 |        564 |                         zipfile._path.glob
import time:       774 |       1337 |                       zipfile._path
import time:      1138 |       2547 |                     zipfile
import time:       626 |        626 |                     importlib.metadata._meta
import time:       454 |        454 |                     importlib.metadata._collections
import time:       355 |        355 |                     importlib.metadata._functools
import time:       327 |        327 |                     importlib.metadata._itertools
import time:        80 |         80 |                                 _bisect
import time:       491 |        570 |                               bisect
import time:        38 |         38 |                               _random
import time:       822 |       1430 |                             random
import time:       678 |       2108 |                           tempfile
import time:       570 |        570 |                           importlib.resources.abc
import time:       727 |       3405 |                         importlib.resources._common
import time:       358 |        358 |                         importlib.resources._functional
import time:       410 |       4172 |                       importlib.resources
import time:       551 |       4723 |                     importlib.abc
import time:      1138 |      10683 |                   importlib.metadata
import time:      2749 |      15689 |                 numpy.testing._private.utils
import time:       486 |      26369 |               numpy.testing
import time:       415 |        415 |                   numpy.polynomial.polyutils
import time:       790 |        790 |                   numpy.polynomial._polybase
import time:       750 |       1955 |                 numpy.polynomial.chebyshev
import time:       514 |        514 |                 numpy.polynomial.hermite
import time:       468 |        468 |                 numpy.polynomial.hermite_e
import time:       457 |        457 |                 numpy.polynomial.laguerre
import time:       440 |        440 |                 numpy.polynomial.legendre
import time:       469 |        469 |                 numpy.polynomial.polynomial
import time:       527 |       4828 |               numpy.polynomial
import time:       387 |        387 |               numpy.rec
import time:       613 |        613 |                     numpy.random._common
import time:       551 |        551 |                       base64
import time:       525 |        525 |                       hmac
import time:       504 |       1579 |                     secrets
import time:       666 |       2856 |                   numpy.random.bit_generator
import time:      1221 |       4076 |                 numpy.random._bounded_integers
import time:       437 |        437 |                     numpy.random._pcg64
import time:      1148 |       1585 |                   numpy.random._generator
import time:       407 |        407 |                   numpy.random._mt19937
import time:       396 |        396 |                   numpy.random._philox
import time:       386 |        386 |                   numpy.random._sfc64
import time:      1252 |       1252 |                   numpy.random.mtrand
import time:       380 |       4404 |                 numpy.random._pickle
import time:       424 |       8903 |               numpy.random
import time:       640 |        640 |                 numpy.f2py.diagnose
import time:       361 |        361 |                   numpy.f2py._backends
import time:       277 |        277 |                   numpy.f2py.__version__
import time:       397 |        397 |                     numpy.f2py.cfuncs
import time:       929 |       1326 |                   numpy.f2py.auxfuncs
import time:      1735 |       1735 |                     numpy.f2py.cb_rules
import time:       333 |        333 |                     numpy.f2py._isocbind
import time:       562 |        562 |                       fileinput
import time:      1025 |       1025 |                             charset_normalizer.constant
import time:       583 |        583 |                               charset_normalizer.md__mypyc
import time:       647 |        647 |                                 unicodedata
import time:        53 |         53 |                                 _multibytecodec
import time:       506 |       1206 |                               charset_normalizer.utils
import time:       751 |       2539 |                             charset_normalizer.md
import time:       708 |        708 |                             charset_normalizer.models
import time:       427 |       4697 |                           charset_normalizer.cd
import time:       538 |       5235 |                         charset_normalizer.api
import time:       332 |        332 |                         charset_normalizer.legacy
import time:       289 |        289 |                         charset_normalizer.version
import time:       683 |       6537 |                       charset_normalizer
import time:      1158 |       1158 |                       numpy.f2py.symbolic
import time:     10086 |      18342 |                     numpy.f2py.crackfortran
import time:       624 |      21033 |                   numpy.f2py.capi_maps
import time:       357 |        357 |                     numpy.f2py.func2subr
import time:       505 |        861 |                   numpy.f2py.f90mod_rules
import time:       391 |        391 |                     numpy.f2py.common_rules
import time:       321 |        321 |                     numpy.f2py.use_rules
import time:      5272 |       5982 |                   numpy.f2py.rules
import time:       558 |      30396 |                 numpy.f2py.f2py2e
import time:       446 |      31481 |               numpy.f2py
import time:      4872 |       4872 |                 numpy.ma.core
import time:       976 |        976 |                 numpy.ma.extras
import time:       560 |       6407 |               numpy.ma
import time:       667 |        667 |                 numpy._core.strings
import time:       406 |       1073 |               numpy.strings
import time:       651 |        651 |                 numpy.ctypeslib._ctypeslib
import time:       386 |       1036 |               numpy.ctypeslib
import time:       536 |        536 |                 numpy._core.defchararray
import time:       389 |        925 |               numpy.char
import time:       476 |        476 |                 numpy.core._utils
import time:       385 |        860 |               numpy.core
import time:       887 |        887 |                 scipy._lib.array_api_compat.common._aliases
import time:       348 |        348 |                 scipy._lib.array_api_compat.numpy._typing
import time:      3949 |       5183 |               scipy._lib.array_api_compat.numpy._aliases
import time:       443 |        443 |               scipy._lib.array_api_compat.numpy._info
import time:       967 |        967 |                 scipy._lib.array_api_compat.common._linalg
import time:       880 |       1846 |               scipy._lib.array_api_compat.numpy.linalg
import time:       366 |        366 |                 scipy._lib.array_api_compat.common._fft
import time:       727 |       1093 |               scipy._lib.array_api_compat.numpy.fft
import time:      1301 |      94434 |             scipy._lib.array_api_compat.numpy
import time:       343 |        343 |                   scipy._lib.array_api_extra._lib
import time:       343 |        343 |                       scipy._lib.array_api_extra._lib._utils
import time:       311 |        311 |                             scipy._lib._sparse
import time:       463 |        774 |                           scipy._lib._array_api_override
import time:       304 |       1077 |                         scipy._lib._array_api_compat_vendor
import time:       430 |       1507 |                       scipy._lib.array_api_extra._lib._utils._compat
import time:       298 |        298 |                         scipy._lib.array_api_extra._lib._utils._typing
import time:       500 |        797 |                       scipy._lib.array_api_extra._lib._utils._helpers
import time:       594 |       3239 |                     scipy._lib.array_api_extra._lib._at
import time:       632 |       3871 |                   scipy._lib.array_api_extra._lib._funcs
import time:       577 |       4790 |                 scipy._lib.array_api_extra._delegation
import time:       383 |        383 |                 scipy._lib.array_api_extra._lib._lazy
import time:       424 |       5595 |               scipy._lib.array_api_extra
import time:       462 |       6057 |             scipy._lib.array_api_extra.testing
import time:       764 |        764 |                 pkgutil
import time:       597 |        597 |                   urllib
